Time;Set robot speed along X axis;Set robot speed along Y axis;Set rotational robot velocity;1st motor set speed;2st motor set speed;3st motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;X axis current;Y axis curent;Rotational current;X axis global position;Y axis global position;Angle;Delta X axis local position;Delta Y axis local position;Delta angle;
ms;m/s;m/s;rad/s;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;A;A;A;pix;pix;deg;mm;mm;deg;
t;xsetspeed;ysetspeed;setvel;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;xcur;ycur;rotcur;xpos;ypos;ang;dx;dy;dang;
0.0001;0.1;0;0;-34.641;0;34.641;0;0;0;0;0;0;0;0;0;0;0;0;969.174;917.914;2.8416;0.390153;-0.431685;-0.399549;
34.8409;0.1;0;0;-34.641;0;34.641;0;0;0;0;0;0;0.025641;0.025641;0.025641;0;0;0;969.174;917.914;2.8416;-0;0;0;
64.9464;0.1;0;0;-34.641;0;34.641;0;0;0;0;0;0;0.025641;0.025641;0.025641;0;0;0;969.174;917.914;2.8416;-0;0;0;
95.8176;0.1;0;0;-34.641;0;34.641;0;0;0;0;0;0;0.025641;0.025641;0.025641;0;0;0;969.174;917.914;2.8416;-0;0;0;
125.837;0.1;0;0;-34.641;0;34.641;-319;0;277;-25.4469;0;28.2743;0.692308;0;0.846154;0.887692;0.0512308;0.051282;968.95;917.914;3.45056;0.0247858;0.411066;0.608958;
155.881;0.1;0;0;-34.641;0;34.641;-651;0;610;-28.2743;0;28.2743;0.487179;0;0.564103;0.60659;0.0256154;0.025641;968.503;917.019;3.05741;1.68589;0.734751;-0.39315;
186.832;0.1;0;0;-34.641;0;34.641;-810;-7;783;-25.4469;0;28.2743;0.769231;0.128205;0.461538;0.710154;-0.102462;-0.102564;968.055;916.124;3.45057;1.69089;0.723165;0.393164;
217.826;0.1;0;0;-34.641;0;34.641;-1155;-25;1114;-31.1018;-2.82743;31.1018;0.333333;0.25641;0.641026;0.562205;0.273487;0.017094;967.384;914.557;3.0511;2.93908;1.08042;-0.39947;
248.846;0.1;0;0;-34.641;0;34.641;-1502;-45;1465;-33.9292;0;33.9292;0.641026;0.205128;0.358974;0.577;-0.0939231;-0.0940171;967.384;913.439;2.84157;2.05284;-0.101894;-0.209532;
280.869;0.1;0;0;-34.641;0;34.641;-1666;-52;1638;-31.1018;-2.82743;31.1018;0.487179;0.179487;0.384615;0.503026;0.0855641;-0.0940171;967.384;912.32;3.86351;2.05059;-0.138483;1.02193;
310.873;0.1;0;0;-34.641;0;34.641;-2008;-72;1986;-31.1018;-2.82743;33.9292;0.564103;0.25641;0.384615;0.54741;0.111256;-0.145299;967.16;910.977;3.24115;2.48578;0.271704;-0.622359;
341.89;0.1;0;0;-34.641;0;34.641;-2342;-93;2331;-31.1018;0;31.1018;0.692308;0.25641;0.564103;0.724949;-0.0426923;-0.042735;966.936;909.859;2.84155;2.07315;0.309418;-0.3996;
371.853;0.1;0;0;-34.641;0;34.641;-2672;-113;2683;-28.2743;-2.82743;28.2743;0.589744;0.128205;0.487179;0.621385;0.051359;-0.0769231;966.936;909.859;2.84155;0;0;0;
403.09;0.1;0;0;-34.641;0;34.641;-2846;-123;2862;-31.1018;-2.82743;33.9292;0.666667;0.179487;0.307692;0.562205;0.000179492;-0.179487;966.489;908.069;2.84159;3.32538;0.659581;3.88622e-05;
435.086;0.1;0;0;-34.641;0;34.641;-3187;-148;3222;-25.4469;-2.82743;33.9292;0.538462;0.282051;0.333333;0.503026;0.119821;-0.162393;966.489;907.174;2.84159;1.64228;-0.0815156;-2.38419e-07;
465.842;0.1;0;0;-34.641;0;34.641;-3518;-178;3587;-28.2743;-2.82743;33.9292;0.564103;0.384615;0.307692;0.503026;0.171154;-0.213675;966.265;905.607;3.24115;2.89609;0.248469;0.399563;
495.86;0.1;0;0;-34.641;0;34.641;-3689;-194;3763;-28.2743;-2.82743;33.9292;0.512821;0.384615;0.128205;0.369872;0.128462;-0.25641;966.265;904.265;3.24099;2.46239;-0.139436;-0.000160933;
526.863;0.1;0;0;-34.641;0;34.641;-4020;-223;4119;-28.2743;-2.82743;31.1018;0.666667;0.230769;0.384615;0.60659;0.06;-0.17094;966.041;902.922;3.05112;2.48487;0.279947;-0.189869;
556.833;0.1;0;0;-34.641;0;34.641;-4362;-245;4460;-31.1018;-2.82743;28.2743;0.435897;0.128205;0.435897;0.503026;0.0855128;-0.0427351;966.041;901.804;2.84155;2.05273;-0.101888;-0.20957;
586.832;0.1;0;0;-34.641;0;34.641;-4538;-253;4647;-25.4469;0;31.1018;0.615385;0.179487;0.384615;0.577;-0.0768462;-0.0769231;965.594;900.461;2.84156;2.50424;0.70034;1.43051e-05;
616.833;0.1;0;0;-34.641;0;34.641;-4871;-265;4999;-31.1018;-2.82743;31.1018;0.410256;0.0512821;0.461538;0.503026;0.051282;0;965.37;899.343;3.24115;2.07526;0.294952;0.399586;
648.43;0.1;0;0;-34.641;0;34.641;-5217;-272;5341;-28.2743;-2.82743;31.1018;0.538462;0.025641;0.410256;0.54741;-0.0255897;-0.0512821;965.818;898;2.43055;2.4293;-0.927482;-0.810601;
680.411;0.1;0;0;-34.641;0;34.641;-5385;-276;5522;-31.1018;-2.82743;31.1018;0.384615;0.025641;0.205128;0.340282;-0.0426667;-0.0683761;965.37;896.658;3.24115;2.50896;0.682864;0.810601;
711.217;0.1;0;0;-34.641;0;34.641;-5729;-284;5866;-31.1018;-2.82743;28.2743;0.564103;0.025641;0.410256;0.562205;-0.0341282;-0.0598291;965.146;895.539;2.84158;2.07326;0.309412;-0.399573;
742.403;0.1;0;0;-34.641;0;34.641;-6070;-291;6218;-28.2743;0;33.9292;0.641026;0.0769231;0.410256;0.60659;-0.0768462;-0.0769231;965.146;895.539;2.84158;0;0;0;
772.152;0.1;0;0;-34.641;0;34.641;-6418;-296;6575;-31.1018;0;31.1018;0.435897;0.0512821;0.230769;0.384667;-0.0683077;-0.0683761;965.146;893.972;3.05113;2.87344;-0.153162;0.209556;
803.143;0.1;0;0;-34.641;0;34.641;-6596;-300;6758;-31.1018;0;28.2743;0.487179;0.0512821;0.230769;0.414256;-0.0853846;-0.0854701;964.922;892.854;3.05741;2.0743;0.301606;0.0062747;
833.204;0.1;0;0;-34.641;0;34.641;-6946;-311;7117;-28.2743;-2.82743;31.1018;0.461538;0.128205;0.358974;0.473436;0.051359;-0.0769231;964.699;891.064;2.84157;3.30497;0.248276;-0.215836;
863.729;0.1;0;0;-34.641;0;34.641;-7285;-325;7471;-28.2743;-2.82743;28.2743;0.410256;0.153846;0.230769;0.369872;0.0428461;-0.111111;964.475;890.169;3.03158;1.66366;0.324281;0.190005;
894.735;0.1;0;0;-34.641;0;34.641;-7461;-332;7646;-28.2743;0;28.2743;0.487179;0.205128;0.358974;0.488231;-0.0426923;-0.042735;964.251;889.05;2.64639;2.07219;0.316473;-0.385185;
925.747;0.1;0;0;-34.641;0;34.641;-7793;-345;8005;-28.2743;0;31.1018;0.717949;0.0769231;0.25641;0.562205;-0.153692;-0.153846;964.251;887.484;2.84155;2.87387;-0.142645;0.195156;
957.72;0.1;0;0;-34.641;0;34.641;-8135;-355;8351;-33.9292;0;31.1018;0.564103;0.0512821;0.25641;0.473436;-0.102462;-0.102564;964.027;886.365;2.43055;2.07099;0.324277;-0.411001;
989.108;0.1;0;0;-34.641;0;34.641;-8306;-360;8531;-25.4469;0;31.1018;0.74359;0.0769231;0.358974;0.63618;-0.128077;-0.128205;964.251;884.799;2.84155;2.85357;-0.553956;0.411001;
1019.11;0.1;0;0;-34.641;0;34.641;-8647;-375;8891;-31.1018;0;28.2743;0.307692;0.153846;0.282051;0.340282;-0.00853846;-0.00854701;963.804;883.232;2.63202;2.91219;0.690622;-0.209532;
1049.18;0.1;0;0;-34.641;0;34.641;-8994;-384;9243;-31.1018;0;31.1018;0.512821;0.128205;0.230769;0.429051;-0.0939231;-0.0940171;964.251;882.114;2.84155;2.0119;-0.9245;0.209532;
1079.11;0.1;0;0;-34.641;0;34.641;-9166;-387;9428;-31.1018;0;31.1018;0.282051;0.025641;0.333333;0.355077;0.0170769;0.017094;964.027;880.324;2.62573;3.30401;0.260724;-0.215821;
1110.15;0.1;0;0;-34.641;0;34.641;-9522;-389;9776;-31.1018;0;31.1018;0.358974;0;0.307692;0.384667;-0.0170769;-0.017094;964.027;878.758;2.43041;2.87482;-0.122019;-0.195317;
1140.11;0.1;0;0;-34.641;0;34.641;-9874;-393;10135;-31.1018;-2.82743;31.1018;0.333333;0;0.307692;0.369872;-0.00853845;-0.00854701;964.027;878.758;2.43041;0;0;0;
1171.45;0.1;0;0;-34.641;0;34.641;-10045;-399;10320;-28.2743;-2.82743;31.1018;0.589744;0.0769231;0.282051;0.503026;-0.0511538;-0.128205;963.804;877.639;2.84159;2.07326;0.309411;0.411177;
1202.59;0.1;0;0;-34.641;0;34.641;-10396;-414;10668;-28.2743;-2.82743;31.1018;0.307692;0.102564;0.410256;0.414256;0.102564;0;963.804;876.52;2.2375;2.05369;-0.0802412;-0.604083;
1234.61;0.1;0;0;-34.641;0;34.641;-10746;-428;11021;-33.9292;0;31.1018;0.487179;0.0769231;0.333333;0.473436;-0.0512308;-0.051282;963.356;875.625;2.64641;1.68056;0.746601;0.408904;
1264.7;0.1;0;0;-34.641;0;34.641;-11077;-440;11365;-28.2743;0;28.2743;0.641026;0.205128;0.615385;0.724949;-0.00853845;-0.00854701;963.133;873.835;2.43055;3.30299;0.271983;-0.21586;
1294.7;0.1;0;0;-34.641;0;34.641;-11258;-445;11530;-33.9292;0;31.1018;0.564103;0.179487;0.564103;0.650974;0;0;963.133;872.94;2.43055;1.64282;-0.069732;7.15256e-07;
1324.65;0.1;0;0;-34.641;0;34.641;-11596;-456;11876;-31.1018;0;31.1018;0.717949;0.0769231;0.641026;0.784128;-0.0256154;-0.025641;963.133;871.15;2.43055;3.28552;-0.139459;-7.15256e-07;
1354.94;0.1;0;0;-34.641;0;34.641;-11929;-475;12231;-31.1018;0;31.1018;0.435897;0.205128;0.307692;0.429051;-0.0426923;-0.042735;963.133;869.807;2.43038;2.46423;-0.104591;-0.000164986;
1385.84;0.1;0;0;-34.641;0;34.641;-12106;-487;12406;-28.2743;0;33.9292;0.435897;0.25641;0.384615;0.473436;-0.0170769;-0.017094;962.685;868.689;3.45057;2.10122;0.698424;1.02019;
1415.87;0.1;0;0;-34.641;0;34.641;-12434;-509;12770;-28.2743;-2.82743;33.9292;0.589744;0.153846;0.230769;0.473436;-0.0169231;-0.17094;962.238;867.57;2.43055;2.08834;0.735724;-1.02003;
1446.8;0.1;0;0;-34.641;0;34.641;-12769;-529;13113;-25.4469;-2.82743;28.2743;0.615385;0.230769;0.512821;0.650974;0.119769;-0.111111;962.014;866.227;2.63202;2.48276;0.298116;0.201469;
1478.87;0.1;0;0;-34.641;0;34.641;-12940;-536;13293;-31.1018;0;31.1018;0.589744;0.153846;0.384615;0.562205;-0.0683077;-0.0683761;962.238;864.885;2.43055;2.44665;-0.516035;-0.201469;
1509.64;0.1;0;0;-34.641;0;34.641;-13272;-544;13639;-31.1018;-2.82743;28.2743;0.589744;0.025641;0.538462;0.650974;2.56449e-05;-0.025641;962.238;863.766;3.05742;2.05245;-0.109627;0.626875;
1540.11;0.1;0;0;-34.641;0;34.641;-13610;-553;13984;-28.2743;-2.82743;31.1018;0.538462;0.0512821;0.282051;0.473436;-0.0511795;-0.102564;962.238;863.766;3.05742;0;0;0;
1569.91;0.1;0;0;-34.641;0;34.641;-13778;-559;14168;-28.2743;-2.82743;33.9292;0.487179;0.0512821;0.512821;0.577;0.0427436;-0.00854701;962.238;862.2;2.43055;2.87493;-0.122031;-0.626875;
1599.86;0.1;0;0;-34.641;0;34.641;-14137;-571;14524;-33.9292;0;33.9292;0.230769;0.153846;0.230769;0.266308;0;0;962.014;860.634;2.43653;2.8922;0.289118;0.00598454;
1630.44;0.1;0;0;-34.641;0;34.641;-14486;-581;14891;-31.1018;0;28.2743;0.461538;0.0769231;0.282051;0.429051;-0.0597692;-0.0598291;962.238;859.291;2.22354;2.44861;-0.507197;-0.212988;
1660.5;0.1;0;0;-34.641;0;34.641;-14657;-587;15067;-31.1018;0;31.1018;0.282051;0.153846;0.358974;0.369872;0.0256154;0.025641;962.238;857.725;2.43056;2.87482;-0.122027;0.207016;
1690.58;0.1;0;0;-34.641;0;34.641;-15010;-599;15419;-31.1018;0;33.9292;0.461538;0.128205;0.358974;0.473436;-0.0341538;-0.034188;962.238;856.606;2.22354;2.05382;-0.0797452;-0.207016;
1722.16;0.1;0;0;-34.641;0;34.641;-15358;-609;15772;-33.9292;0;31.1018;0.512821;0.025641;0.435897;0.54741;-0.0256154;-0.025641;962.238;855.04;2.43056;2.87493;-0.122032;0.207016;
1752.16;0.1;0;0;-34.641;0;34.641;-15528;-614;15940;-31.1018;0;28.2743;0.589744;0.128205;0.358974;0.54741;-0.0768462;-0.0769231;962.014;853.921;2.0305;2.06856;0.338733;-0.40006;
1783.16;0.1;0;0;-34.641;0;34.641;-15866;-629;16291;-28.2743;-2.82743;28.2743;0.461538;0.0769231;0.487179;0.54741;0.0598462;-0.017094;961.566;852.579;2.03052;2.49408;0.735717;1.45435e-05;
1813.14;0.1;0;0;-34.641;0;34.641;-16207;-645;16643;-31.1018;0;31.1018;0.538462;0.153846;0.410256;0.54741;-0.0426923;-0.0427351;961.343;851.46;2.43058;2.07088;0.324281;0.40006;
1845.13;0.1;0;0;-34.641;0;34.641;-16373;-652;16814;-31.1018;0;28.2743;0.512821;0.128205;0.435897;0.54741;-0.0256154;-0.025641;961.566;850.117;2.64623;2.4448;-0.525247;0.215656;
1876.22;0.1;0;0;-34.641;0;34.641;-16717;-666;17163;-31.1018;0;31.1018;0.487179;0.102564;0.358974;0.488231;-0.0426923;-0.042735;961.343;848.551;2.22356;2.89122;0.299863;-0.422674;
1907.09;0.1;0;0;-34.641;0;34.641;-17056;-680;17518;-25.4469;0;33.9292;0.564103;0.205128;0.333333;0.517821;-0.0768462;-0.0769231;960.895;847.432;1.61899;2.07782;0.765226;-0.604567;
1939.34;0.1;0;0;-34.641;0;34.641;-17410;-696;17863;-31.1018;-2.82743;28.2743;0.230769;0.153846;0.461538;0.399462;0.179462;0.025641;960.895;847.432;1.61899;0;0;0;
1970.15;0.1;0;0;-34.641;0;34.641;-17589;-706;18048;-28.2743;0;31.1018;0.538462;0.230769;0.307692;0.488231;-0.0768462;-0.0769231;960.895;846.09;1.61323;2.46536;-0.0694332;-0.00576365;
2000.92;0.1;0;0;-34.641;0;34.641;-17929;-729;18395;-31.1018;-2.82743;31.1018;0.512821;0.307692;0.307692;0.473436;0.136923;-0.17094;961.119;844.971;2.03052;2.03949;-0.484379;0.417288;
2030.95;0.1;0;0;-34.641;0;34.641;-18265;-750;18757;-25.4469;0;31.1018;0.641026;0.205128;0.410256;0.60659;-0.0768462;-0.0769231;960.448;843.852;2.02803;2.0978;1.16193;-0.00248337;
2061.81;0.1;0;0;-34.641;0;34.641;-18425;-756;18942;-28.2743;0;31.1018;0.615385;0.102564;0.25641;0.503026;-0.119538;-0.119658;960.448;842.51;1.63047;2.46534;-0.0701754;-0.397557;
2092.7;0.1;0;0;-34.641;0;34.641;-18765;-759;19286;-31.1018;0;31.1018;0.538462;0;0.384615;0.532615;-0.0512308;-0.0512821;960.671;841.167;2.22375;2.44861;-0.507205;0.593271;
2124.09;0.1;0;0;-34.641;0;34.641;-19101;-759;19636;-28.2743;0;28.2743;0.641026;0;0.410256;0.60659;-0.0768462;-0.0769231;960.671;839.601;2.03052;2.87571;-0.101956;-0.193228;
2154.88;0.1;0;0;-34.641;0;34.641;-19455;-760;19995;-28.2743;0;31.1018;0.589744;0;0.307692;0.517821;-0.0939231;-0.0940171;960.895;838.035;1.61883;2.86451;-0.492932;-0.411683;
2185.9;0.1;0;0;-34.641;0;34.641;-19621;-760;20168;-31.1018;0;28.2743;0.564103;0;0.282051;0.488231;-0.0939231;-0.0940171;960.671;837.14;1.42012;1.654;0.370935;-0.198713;
2215.82;0.1;0;0;-34.641;0;34.641;-19972;-760;20524;-28.2743;0;31.1018;0.435897;0;0.384615;0.473436;-0.0170769;-0.017094;960.895;835.35;1.61883;3.27554;-0.504548;0.198713;
2245.93;0.1;0;0;-34.641;0;34.641;-20313;-760;20874;-28.2743;0;28.2743;0.538462;0;0.538462;0.621385;0;0;960.671;834.455;1.42012;1.654;0.370935;-0.198713;
2275.93;0.1;0;0;-34.641;0;34.641;-20498;-760;21046;-31.1018;0;31.1018;0.358974;0;0.564103;0.532615;0.0683077;0.0683761;960.448;832.889;1.429;2.8869;0.339924;0.00888038;
2308.04;0.1;0;0;-34.641;0;34.641;-20849;-761;21400;-31.1018;-2.82743;31.1018;0.487179;0;0.358974;0.488231;-0.0426923;-0.042735;960.224;831.77;1.82349;2.06732;0.346204;0.394486;
2337.91;0.1;0;0;-34.641;0;34.641;-21191;-766;21759;-31.1018;-2.82743;31.1018;0.512821;0.102564;0.333333;0.488231;0.00864101;-0.0940171;960.224;831.77;1.82349;0;0;0;
2367.86;0.1;0;0;-34.641;0;34.641;-21372;-767;21933;-28.2743;-2.82743;33.9292;0.307692;0;0.282051;0.340282;-0.00853846;-0.00854701;960;830.427;1.61896;2.4771;0.341965;-0.204525;
2398.63;0.1;0;0;-34.641;0;34.641;-21709;-769;22291;-31.1018;0;31.1018;0.564103;0;0.384615;0.54741;-0.0597692;-0.0598291;960.224;829.085;1.8235;2.45198;-0.490084;0.204538;
2430.61;0.1;0;0;-34.641;0;34.641;-22056;-770;22634;-31.1018;0;31.1018;0.692308;0;0.307692;0.577;-0.128077;-0.128205;960;827.519;1.41458;2.88681;0.340651;-0.408917;
2460.8;0.1;0;0;-34.641;0;34.641;-22233;-771;22817;-31.1018;0;28.2743;0.589744;0;0.435897;0.591795;-0.0512308;-0.0512821;960;826.176;2.24365;2.46444;-0.0965548;0.829068;
2490.83;0.1;0;0;-34.641;0;34.641;-22565;-776;23169;-28.2743;0;28.2743;0.666667;0.128205;0.307692;0.562205;-0.119538;-0.119658;960;824.834;1.41458;2.46569;-0.0608883;-0.829068;
2520.86;0.1;0;0;-34.641;0;34.641;-22914;-779;23515;-28.2743;0;33.9292;0.307692;0;0.358974;0.384667;0.0170769;0.017094;959.776;823.268;1.83213;2.8891;0.319608;0.417544;
2552.96;0.1;0;0;-34.641;0;34.641;-23081;-780;23701;-28.2743;0;31.1018;0.641026;0;0.25641;0.517821;-0.128077;-0.128205;960;821.925;1.61879;2.45383;-0.481324;-0.213335;
2583.82;0.1;0;0;-34.641;0;34.641;-23435;-780;24052;-31.1018;0;31.1018;0.179487;0;0.333333;0.295897;0.0512308;0.0512821;960;820.135;1.61882;3.28717;-0.0928996;2.75373e-05;
2615.86;0.1;0;0;-34.641;0;34.641;-23777;-786;24408;-31.1018;0;31.1018;0.666667;0.102564;0.282051;0.54741;-0.128077;-0.128205;960;819.016;2.24364;2.0538;-0.0804655;0.624818;
2647.53;0.1;0;0;-34.641;0;34.641;-23942;-792;24581;-28.2743;0;28.2743;0.589744;0.128205;0.461538;0.60659;-0.0426923;-0.0427351;960;817.45;1.61882;2.87637;-0.0812899;-0.624818;
2678.65;0.1;0;0;-34.641;0;34.641;-24294;-807;24947;-28.2743;0;28.2743;0.769231;0.153846;0.358974;0.650974;-0.136615;-0.136752;959.552;816.331;1.429;2.07527;0.772111;-0.189819;
2708.61;0.1;0;0;-34.641;0;34.641;-24640;-823;25306;-28.2743;0;28.2743;0.25641;0.0769231;0.333333;0.340282;0.0256154;0.025641;959.776;814.989;1.21862;2.45691;-0.464169;-0.210378;
2739.65;0.1;0;0;-34.641;0;34.641;-24979;-834;25668;-31.1018;0;31.1018;0.538462;0.0512821;0.205128;0.429051;-0.111;-0.111111;959.776;814.989;1.21862;0;0;0;
2771.41;0.1;0;0;-34.641;0;34.641;-25159;-835;25841;-31.1018;0;28.2743;0.307692;0.025641;0.410256;0.414256;0.0341538;0.034188;959.329;814.094;2.03052;1.67245;0.764847;0.811894;
2801.77;0.1;0;0;-34.641;0;34.641;-25499;-836;26193;-31.1018;0;31.1018;0.461538;0;0.307692;0.443846;-0.0512308;-0.051282;959.329;812.304;1.21865;3.28774;-0.0699389;-0.81187;
2833.69;0.1;0;0;-34.641;0;34.641;-25843;-839;26530;-31.1018;0;31.1018;0.589744;0.102564;0.435897;0.591795;-0.0512308;-0.0512821;959.776;811.409;1.21861;1.62641;-0.858408;-3.83854e-05;
2865.71;0.1;0;0;-34.641;0;34.641;-26026;-840;26709;-25.4469;0;31.1018;0.435897;0;0.333333;0.443846;-0.0341538;-0.034188;959.329;810.066;1.21864;2.48341;0.770983;2.81334e-05;
2897.74;0.1;0;0;-34.641;0;34.641;-26372;-846;27055;-31.1018;0;28.2743;0.25641;0.025641;0.512821;0.443846;0.0853846;0.0854701;959.776;808.724;1.21861;2.44826;-0.87589;-2.81334e-05;
2927.73;0.1;0;0;-34.641;0;34.641;-26717;-854;27403;-31.1018;0;28.2743;0.692308;0.0512821;0.333333;0.591795;-0.119538;-0.119658;959.105;807.381;1.41463;2.49619;1.17417;0.196015;
2958.66;0.1;0;0;-34.641;0;34.641;-27064;-865;27759;-28.2743;-2.82743;33.9292;0.74359;0.0512821;0.435897;0.680564;-0.0682564;-0.119658;959.105;806.039;1.41463;2.46558;-0.0608873;1.19209e-07;
2988.74;0.1;0;0;-34.641;0;34.641;-27231;-872;27927;-31.1018;0;25.4469;0.615385;0.205128;0.333333;0.54741;-0.0939231;-0.0940171;959.105;804.92;1.21601;2.0548;-0.0436163;-0.198615;
3019.73;0.1;0;0;-34.641;0;34.641;-27577;-885;28282;-31.1018;0;28.2743;0.589744;0.153846;0.384615;0.562205;-0.0683077;-0.0683761;959.105;803.13;1.61885;3.28728;-0.0929044;0.402838;
3049.7;0.1;0;0;-34.641;0;34.641;-27924;-897;28639;-31.1018;0;31.1018;0.461538;0.153846;0.282051;0.429051;-0.0597692;-0.0598291;958.657;802.235;0.806774;1.65562;0.800392;-0.812075;
3079.72;0.1;0;0;-34.641;0;34.641;-28104;-904;28825;-31.1018;0;31.1018;0.487179;0.128205;0.358974;0.488231;-0.0426923;-0.042735;958.657;800.669;1.00827;2.87708;-0.050635;0.201497;
